CATÉGORIE D'ÉVÉNEMENT	GROUPE D'ÉVÉNEMENT	SOUS-GROUPE D'ÉVÉNEMENT	TYPE D'ÉVÉNEMENT	ENDROIT	DATE DU DÉBUT DE L'ÉVÉNEMENT	COMMENTAIRES	VICTIMES	BLESSÉS / INFECTÉS	ÉVACUÉS	COÛT TOTAL ESTIMÉ	COÛT TOTAL NORMALIZE	DATE DE FIN DE L'ÉVÉNEMENT	PAIEMENTS FÉDÉRAUX DES AAFCC	PAIEMENTS PROVINCIAUX DES AAFCC	PAIEMENTS DES DÉPARTEMENTS PROVINCIAUX	COÛTS MUNICIPAUX	COÛTS D'AMG	PAIEMENTS D'ASSURANCE	PAIEMENTS D'O.N.G.	SERVICES PUBLICS - PERSONNES AFFECTÉES	MAGNITUDE	
Désastre	Naturel	Météorologique - hydrologique	Tempête hivernale	Est du Canada au large l'île Cap-de-Sable (N.-É.)	15/03/1993 12:00:00 AM	Est du Canada au large l'île Cap-de-Sable (N.-É.), le 15 mars 1993. Des blizzards de mars causés par un cyclone de latitude moyenne remontant la côte est de l'Amérique du Nord provoquent sur leur passage la mort de plus de 240 personnes;  à un moment donné plus de trois millions d'habitants sont sans électricité. Le 15 mars, le navire de charge de 177 m « Gold Bond Conveyor »  battant pavillon libérien coule dans la tempête.   Chargé de gypse, le navire coule à quelque 200 km au large de l'île Cap-de-Sable dans des vagues s'élevant jusqu'à 20 m et des rafales de vent de 120 km/h, après avoir quitté le port d'Halifax, en Nouvelle-Écosse, malgré les avertissements d'ouragan.  La plupart des membres d'équipage sont de Hong Kong; le naufrage ne laisse aucun survivant parmi les 33 personnes à bord.	33	0	0	19866000.0000	1392476.6	15/03/1993 12:00:00 AM						19866000.0000		0	0.0	
Désastre	Naturel	Biologique	Épidémie	Île-du-Prince-Édouard et Nouveau-Brunswick	01/01/1993 12:00:00 AM	Île-du-Prince-Édouard et Nouveau-Brunswick, 1993. Les récoltes de pommes de terre sont touchées. Maladie PVYn.	0	0	0			01/01/1993 12:00:00 AM								0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Sécheresse	Provinces des Prairies	01/01/1993 12:00:00 AM	Provinces des Prairies, 1993. Une sécheresse importante et généralisée affectant l'eau de surface est signalée dans les Prairies.	0	0	0	0.0000	0.0	01/01/1993 12:00:00 AM								0	0.0	
Incident	Technologie	Le feu	Résidentiel	St. John's (T.-N.-L.)	21/12/1992 12:00:00 AM	St. John's (T.-N.-L.), le 21 décembre 1992. 500 personnes évacuées; le pire incendie de la ville en 50 ans fait exploser une série de citernes de propane, force l'évacuation d'environ 500 personnes, détruit 11 commerces et fait une centaine de sans-abri; l'incendie se déclare dans le manège de 82 ans de la brigade des Church Lads; on croit qu'il est d'origine criminelle.	0	0	600			21/12/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Produits chimiques dangereux	Dégagement de déraillement	Oakville (MB)	18/12/1992 12:00:00 AM	Oakville (MB), 18 décembre 1992. Le déraillement de 29 des 41 wagons d'un train et le déversement de produits chimiques qui suit entraînent l'évacuation des 410 résidents d'Oakville, près de Portage-la-Prairie, pendant la période des fêtes (du 18 décembre 1992 au 10 janvier 1993).	0	0	410			18/12/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tempête-non précisée/autre	Ontario et Québec	12/11/1992 12:00:00 AM	Ontario et Québec, les 12 et 13 novembre 1992.	0	0	0			13/11/1992 12:00:00 AM								0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Péninsules d'Avalon et de Burin, et baies Bonavista, de la Trinité et de la Conception (T.-N.-L.)	06/10/1992 12:00:00 AM	Péninsules d'Avalon et de Burin, et baies Bonavista, de la Trinité et de la Conception (T.-N.-L.), le 6 octobre 1992. Une violente tempête qui laisse 55 mm de pluie s'abat sur ces régions dans la soirée du 6 octobre, accompagnée de vents de 139 km/h par endroits; les services publics sont interrompus dans plusieurs secteurs; la Garde côtière canadienne reçoit de nombreux appels à l'aide, et tous les vols en partance ou à destination de l'aéroport international de St. John's sont annulés temporairement; plusieurs écoles, un hôpital, des commerces et des résidences privées subissent des dommages; la tempête persiste jusqu'au jeudi 8 octobre, avec des vents de moindre intensité (environ 70 km/h).	0	0	0	8945037.0000	638931.2	06/10/1992 12:00:00 AM						8945037.0000		0	0.0	
Incident	Conflit	Terroriste	Attaques de bombe	Yellowknife (T.N.-O.)	18/09/1992 12:00:00 AM	Yellowknife (T.N.-O.), 18 septembre 1992. Un wagon de la mine d'or Giant explose à 230 m sous terre; neuf mineurs sont tués; ils ont tous traversé une ligne de piquetage pour travailler durant une grève légale entamée cinq mois plus tôt; six sont d'ex-grévistes, et les trois autres sont des travailleurs suppléants; selon les enquêteurs de la GRC, l'explosion aurait été causée par une bombe de fabrication artisanale placée intentionnellement dans le wagon; la grève compte déjà des actes de violence commis sur la ligne de piquetage, des incendies allumés intentionnellement et au moins deux autres explosions, qui n'ont toutefois causé aucun décès.	9	0	0			18/09/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Edmonton (AB)	01/09/1992 12:00:00 AM	Alberta, 1 septembre 1992.	0	0	0	22522000.0000	1608714.3	01/09/1992 12:00:00 AM			14434443.0000			8087557.0000		0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Edmonton (AB)	28/08/1992 12:00:00 AM	Edmonton AB, 28 août 1992.	0	0	0	20170168.0000	1440726.3	28/08/1992 12:00:00 AM			14434443.0000			5735725.0000		0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Elmira (ON)	28/08/1992 12:00:00 AM	Elmira (ON), 28 août 1992.	0	0	0	4738539.0000	338467.1	28/08/1992 12:00:00 AM	0.0000	0.0000				4738539.0000		0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Toronto (ON)	31/07/1992 12:00:00 AM	Toronto (ON), le 31 juillet 1992.	0	0	0	5337940.0000	381281.4	31/07/1992 12:00:00 AM	0.0000	0.0000				5337940.0000		0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Calgary (AB)	31/07/1992 12:00:00 AM	Calgary (AB), le 31 juillet 1992.	0	0	0	38495497.0000	2749678.4	31/07/1992 12:00:00 AM			14434443.0000			24061054.0000		0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Rivières du Yukon (T.-Y.)	17/06/1992 12:00:00 AM	Rivières du Yukon (T.-Y.), 17 juin-juillet 1992. Un manteau neigeux supérieur à la normale et de fortes précipitations, conjugués à une température hivernale élevée, causent des inondations dans le bassin supérieur de la rivière Liard, le bassin de la rivière Teslin, la région de South Canol, les lacs du cours supérieur du fleuve Yukon, la vallée de la rivière Stewart et le lac Bennett. Le cours supérieur de la rivière Liard atteint le 17 juin son niveau le plus élevé, au cinquième rang des niveaux les plus élevés enregistrés depuis 1960; la rivière Teslin culmine le 25 juin, battant l'ancien record établit en 1947, les lacs supérieurs du Yukon atteignent leur maximum le 30 juillet, au troisième rang des niveaux les plus élevés depuis 1951. L'inondation emporte des routes, endommage des propriétés privées et des réserves, et menace gravement les installations d'aqueducs et d'égouts. Les localités les plus durement touchées sont : Upper Liard, Carmacks, Carcross et Teslin.	0	0	0	228636.0000	16331.1	30/07/1992 12:00:00 AM	147321.0000	81315.0000						0	0.0	
Incident	Technologie	Produits chimiques dangereux	Dégagement de déraillement	Longlac (ON)	25/05/1992 12:00:00 AM	Longlac (ON), 25 mai 1992. Un train de marchandises comportant quatre wagons d'ammoniac déraille, causant de petites fuites à deux wagons; le contenu des wagons endommagés est pompé, et les deux autres sont ouverts, ce qui libère dans l'atmosphère 1000 lb d'ammoniac dans une région éloignée; 800 personnes sont évacuées pendant trois jours.	0	0	800			25/05/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Attawapiskat (ON)	18/05/1992 12:00:00 AM	Attawapiskat, nord de l'Ontario, 18 mai 1992. Environ 1000 résidents de ce village cri situé près de la baie James sont évacués alors que la rivière Attawapiskat sort de son lit. 	0	0	1000			18/05/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Explosion	Non résidentiel	Plymouth (N.-É.)	09/05/1992 12:00:00 AM	Plymouth (N.-É.),  9 mai 1992. Un coup de poussières provoqué par du méthane se produit à la mine de charbon Westray (gisement Foord) et tue 26 mineurs : 11 périssent dans l'explosion même, et 15 sont présumés morts lorsque les tentatives de sauvetage sont abandonnées en raison des conditions dangereuses et du risque d'une autre explosion.	26	0	0			09/05/1992 12:00:00 AM								0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Hay River (T.N.-O.)	25/04/1992 12:00:00 AM	Hay River (T.N.-O.), 25 avril 1992. Environ 100 résidents sont évacués parce qu'un embâcle de 10 km s'étant formé à l'embouchure de la rivière au Foin cause des inondations dans la ville.	0	0	100			25/04/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Produits chimiques dangereux	Dégagement de véhicule	Nanaimo (C.-B.)	26/03/1992 12:00:00 AM	Nanaimo (C.-B.), 26 mars 1992. Un camion-citerne se renverse dans une zone résidentielle et déverse 200 litres de méthanol; trois immeubles résidentiels situés à proximité (environ 200 personnes) sont évacués pendant cinq heures, et la circulation est déviée; on craint que le méthanol n'atteigne la mer par le réseau d'égouts pluviaux.	0	0	200			26/03/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Produits chimiques dangereux	Fuite / dégagement de flaque	Sarnia (ON)	19/03/1992 12:00:00 AM	Sarnia (ON), 19 mars 1992. La défaillance d'un échangeur de chaleur d'une usine de caoutchouc cause le déversement de 1500 kg d'isobutylène dans la rivière Sainte-Claire à deux reprises les 19 et 20 mars; l'alimentation en eau potable est interrompue.	0	0	0			19/03/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Produits chimiques dangereux	Dégagement marin	Port-aux-Basques (T.-N.-L.)	13/03/1992 12:00:00 AM	à 23 milles à l'ouest de Port-aux-Basques (T.-N.-L.), 13 mars 1992. endommagé par la glace, le vracquier panaméen « M/V SKRIM » déverse environ 145 m³ de pétrole lourd sur la glace autour de lui et sur la côte sud-ouest de Terre-Neuve; par endroits, la couche déposée sur les rochers mesure de 0,5 cm d'épaisseur; des opérations de nettoyage sont effectuées.	0	0	0			13/03/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Ste-Brigitte-de-Laval (QC), à 40 km environ au nord de Québec	12/03/1992 12:00:00 AM	Ste-Brigitte-de-Laval (QC), à 40 km environ au nord de Québec, 12 mars 1992. Un pont aérien est établi pour transporter une quarantaine de personnes de cette communauté de l'île Enchanteresse lorsqu'un embâcle sur la rivière Montmorency provoque une crue rapide; l'eau envahit la ville, inondant 80 maisons; deux hélicoptères du gouvernement du Québec et un hélicoptère des Forces canadiennes sont utilisés pour procéder à l'évacuation.	0	0	40	1012311.0000	72307.9	12/03/1992 12:00:00 AM			1012311.0000					0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Peace River (AB)	28/02/1992 12:00:00 AM	Peace River (AB), à 388 km au nord-ouest d'Edmonton, du 28 février au 4 mars 1992. Un temps exceptionnellement chaud pour la saison cause la formation d'embâcles sur la rivière de la Paix, dont le niveau monte de 4,3 m au-dessus de la moyenne; de nombreuses inondations nécessitent l'évacuation d'environ 3 800 résidents de la ville pendant au moins trois jours; une vingtaine de maisons subissent de graves dommages, 30 autres sont endommagées mais demeurent habitables; aucun mort ni blessé n'est signalé.	0	0	3800	2866371.0000	204740.8	04/03/1992 12:00:00 AM			2866371.0000					0	0.0	
Incident	Technologie	Le feu	Résidentiel	Montréal (QC)	16/02/1992 12:00:00 AM	Montréal (QC), 16 février 1992. Quatre édifices commerciaux et résidentiels à valeur patrimoniale, situés dans le vieux Montréal, près de la basilique Notre-Dame, sont totalement détruits en dix heures par les flammes malgré les efforts de plus de 100 pompiers; construite de 1824 à 1829, la basilique subit des dommages importants causés par la fumée, et certaines de ses fenêtres sont brisées.	0	0	0			16/02/1992 12:00:00 AM								0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tempête hivernale	Provinces Maritime	01/02/1992 12:00:00 AM	Provinces Maritime, 1-4 février 1992. Un blizzard d'une durée de 110 heures, don’t les rafales atteignent 140 km/h, s'accompagne d'une chute de neige record de 163 cm sur Moncton, au Nouveau-Brunswick; plusieurs autres villes enregistrent des chutes de neige de plus de 100 cm; de nombreux automobilistes doivent être secourus; un grand nombre d'écoles et de commerces des Maritimes doivent fermer leurs portes.	0	0	0	0.0000	0.0	04/02/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Produits chimiques dangereux	Fuite / dégagement de flaque	Port au Choix (T.-N.-L.)	31/01/1992 12:00:00 AM	Port-aux-Choix (T.-N.-L.), 31 janvier 1992. 120 000 litres de carburant diesel s'échappent d'un réservoir et coulent vers le port; la principale inquiétude étant la contamination du vivier de homards situé près de l'endroit du déversement, on entrepose les homards dans une zone d'attente; une quantité importante de carburant est bloquée par de la glace de rive, et une estacade est érigée pour essayer de contenir la glace contaminée; la population craint que la glace produise des émanations lors du dégel au printemps; des accusations sont portées contre le gestionnaire du terminal de carburant en vertu de la Loi sur les pêches.	0	0	0			31/01/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Produits chimiques dangereux	Fuite / dégagement de flaque	Corunna (ON)	21/01/1992 12:00:00 AM	Corunna (ON), 21 janvier 1992. Une raffinerie rejette environ 1000 kg de benzène, de toluène et de xylène dans un égout se déversant dans le ruisseau Telford et la rivière Sainte-Claire; l'alimentation en eau potable de Wallaceburg et de Walpole est interrompue pendant deux jours, la contamination ayant descendu la rivière; une destruction de poissons connexe est signalée, et l'incident donne lieu à une condamnation en vertu de la Loi sur la protection de l'environnement de l'ON.	0	0	0			21/01/1992 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Sécheresse	Provinces des Prairies	01/01/1992 12:00:00 AM	Provinces des Prairies, 1992. Le rendement de la production animale est faible au nord de l'Alberta et de la Saskatchewan à cause de la une sécheresse importante et généralisée affectant l'eau de surface est signalée dans les Prairies; c'est le mois de juillet le plus froid depuis 1884.	0	0	0	580597523.0000	41471251.6	01/01/1992 12:00:00 AM			135289.0000		580462234.0000			0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Lethbridge (AB)	01/01/1992 12:00:00 AM	Lethbridge (AB), 1992.	0	0	0	219277.0000	15662.6	01/01/1992 12:00:00 AM			219277.0000					0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Épisode froid	Provinces des Prairies et Ontario	01/01/1992 12:00:00 AM	Provinces des Prairies et Ontario, été 1992. Des chutes de neige et des gelées non caractéristiques pour la saison sont enregistrées pendant les mois de juin, de juillet et d'août, causant d'importants dégâts aux cultures.	0	0	0	2000000.0000	142857.1	01/01/1992 12:00:00 AM			2000000.0000					0	0.0	
Incident	Technologie	Produits chimiques dangereux	Dégagement marin	Haines (AB)	06/12/1991 12:00:00 AM	Haines (AB), 6 décembre 1991. Une tour de forage pétrolier gelée explose pendant que des équipes essaient de faire dégeler les tuyaux; du pétrole brut et du gaz sulfureux se répandent pendant plus de 17 heures; des gens se plaignent de l'odeur même à 20 km au nord de l'endroit; 170 personnes sont évacuées.	0	0	170			06/12/1991 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tempête-non précisée/autre	Région centrale de l'Ontario	30/11/1991 12:00:00 AM	Région centrale de l'Ontario, 30 novembre 1991.	0	0	0	5982309.0000	433500.7	30/11/1991 12:00:00 AM	0.0000	0.0000				5982309.0000		0	0.0	
Incident	Technologie	Produits chimiques dangereux	Le feu	Grand Coulee (SK)	20/11/1991 12:00:00 AM	Grand Coulee (SK), 20 novembre 1991. Un incendie dans un entrepôt contenant 45 gallons de cyanure et 2500 gallons de pesticide en vrac à usage agricole, de phosphore et d'un produit chimique à base de sodium nécessite l'évacuation de 200 résidents de Grand Coulee pendant environ trois heures.	0	0	200			20/11/1991 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Provinces Maritime	25/10/1991 12:00:00 AM	Provinces Maritime, Nouvelle-Écosse en particulier, du 25 octobre au 3 novembre 1991.  Connue sous le nom de « tempête de l'Halloween » de 1991, cette tempête est produite par deux ouragans, l'ouragan Grace et un autre sans nom qui ont balayé le nord de l'Atlantique. Sur la côte de la Nouvelle-Écosse, une vague de 30,7 m est enregistrée, la plus haute jamais mesurée dans le monde par un instrument.	0	0	0	0.0000	0.0	03/11/1991 12:00:00 AM								0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tempête-non précisée/autre	Vernon (C.-B.)	16/10/1991 12:00:00 AM	Vernon (C.-B.), 16 octobre 1991.	0	0	0	4396737.0000	318604.1	16/10/1991 12:00:00 AM	0.0000	0.0000				4396737.0000		0	0.0	
Incident	Technologie	Produits chimiques dangereux	Fuite / dégagement de flaque	Canso (N.-É.)	08/10/1991 12:00:00 AM	Canso (N.-É.), 8 octobre 1991. Une erreur est commise durant l'installation d'un réfrigérateur qui convertit le fréon en ammoniac; un sous-traitant laisse une vanne ouverte dans une canalisation qu'il croyait hors service; 20 tonnes de fréon s'échappent du système.	0	0	0			08/10/1991 12:00:00 AM								0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Nord-ouest de la Colombie-Britannique	08/10/1991 12:00:00 AM	Nord-ouest de la Colombie-Britannique, du 8 au 14 octobre 1991. Une inondation due à de fortes pluies le long des rivières Kitimat, Skeena et Nass a causé des dommages à Terrace, Stewart et Prince Rupert. Des routes et des chemins forestiers furent inondés et emportés et de nombreux ponts endommagés ou détruits. L'érosion détruisit des frayûres et provoqua des glissements de terrain. Les collectivités le long de la rivière Nass furent isolées; grâce au Provincial Emergency Program, on put utiliser le transport aérien pour livrer des denrées fraîches.						14/10/1991 12:00:00 AM								4150761	0.0	
Incident	Technologie	Accident de transport	L'air	Près du pôle Nord (NU)	01/10/1991 12:00:00 AM	Près du pôle Nord (NU), 1er octobre 1991. Un avion militaire Hercules s'écrase à la pointe nord de l'île Ellesmere, près d'Alert: 18 personnes sont tuées et il y a un survivant.	18	0	0			01/10/1991 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Le feu	Résidentiel	Jarvis (ON)	26/09/1991 12:00:00 AM	Jarvis (ON), le 26 septembre 1991. 1300 personnes évacuées; une personne blessée; une explosion de gaz naturel détruit une maison; la propriétaire subit des brûlures; l'explosion est produite par une infiltration de gaz dans un puits de la cour arrière; toutes les conduites de gaz naturel sont fermées; les lignes électriques et téléphoniques sont également fermées pour éviter que des étincelles ne provoquent d'autres explosions sur la rive nord du lac Érié; la région est évacuée pendant quatre jours.	0	1	1300			26/09/1991 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Calgary (AB)	07/09/1991 12:00:00 AM	Calgary (AB), le 7 septembre 1991 (fête du Travail). Un orage d'une durée de 30 minutes, accompagné de pluies torrentielles et de grêlons de la taille d'une balle de golf, inonde les sous-sols et cause des dommages matériels. La grêle fait voler les fenêtres en éclats et écrase des oiseaux. Des voitures sont immobilisées dans des passages souterrains, des plaques d'égout sont éjectées et 28  bouches d'égout doivent être désobstruées.	0	0	0	884595372.0000	64101113.9	07/09/1991 12:00:00 AM			9289467.0000	496865521.0000		378440384.0000		0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Sud-ouest de la Colombie-Britannique	29/08/1991 12:00:00 AM	Sud-ouest de la Colombie-Britannique, du 29 aoÃƒÂ»t au 1er septembre 1991. De fortes pluies causent des dommages ÃƒÂ©tendus dans le sud-ouest de la Colombie-Britannique, principalement dans les environs de Vancouver et de Chilliwack. Les secteurs les plus touchÃƒÂ©s sont : la rÃƒÂ©gion centre-sud, Bella Coola, Chilcotin, la rÃƒÂ©gion centre-ouest, la rÃƒÂ©gion sud-ouest, les rÃƒÂ©gions des fleuves Fraser, Columbia, Kootenay, Similkameen et Peace.	0	0	0	17300120.0000	1253631.9	01/09/1991 12:00:00 AM	1002312.0000	3934593.0000	12363215.0000					0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tornade	Maskinongé (QC)	27/08/1991 12:00:00 AM	Fleuve Saint-Laurent (QC), 27 août 1991. Une tornade touche le village de Maskinongé; elle traverse le fleuve Saint-Laurent et touche le sol à Notre-Dame-de-Pierreville, où elle détruit quelques chalets d'été et cause de légères blessures; elle cause aussi de légers dommages à St-Wenceslas; il n'y a aucun décès, et 15 personnes sont blessées, dont une seule gravement; dans le village de Maskinongé, 60 % des bâtiments sont endommagés, les services d'électricité et de téléphone sont interrompus; les résidents sont privés d'eau potable.	0	15	0	52603727.0000	3811864.3	27/08/1991 12:00:00 AM			2206439.0000	29751766.0000		20645522.0000		0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Ouragan / ouragan / tempête tropicale	Région sud du Nouveau-Brunswick	19/08/1991 12:00:00 AM	Région sud du Nouveau-Brunswick, 19 août 1991. Deux morts; après avoir tout détruit sur son passage dans la région de Cape Cod, aux États-Unis, Ouragan Bob balaie le sud du Nouveau-Brunswick avec des rafales atteignant 100 km/h.	2	0	0	7021214.0000	508783.6	19/08/1991 12:00:00 AM					7021214.0000			0	0.0	
Incident	Technologie	Produits chimiques dangereux	Dégagement de déraillement	Kinsella (AB)	05/08/1991 12:00:00 AM	Kinsella, près de Wainwright (AB), 5 âout 1991. Un train et un camion-citerne contenant du pétrole brut léger entrent en collision; l'explosion et le feu qui en résultent tuent le chauffeur du camion et les trois membres de l'équipe du train; le train pousse le camion sur 3 km, déversant du pétrole et causant des incendies; une superficie de 1,5 km² doit être nettoyée.	4	0	0			05/08/1991 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Produits chimiques dangereux	Le feu	Sarnia (ON)	22/07/1991 12:00:00 AM	Sarnia (ON), 22 juillet 1991. 5000 résidents sont évacués à cause d'un incendie dans une raffinerie.	0	0	5000			22/07/1991 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Produits chimiques dangereux	Dégagement marin	Sud du cap Beale (C.-B.)	22/07/1991 12:00:00 AM	À 21 milles au sud du cap Beale (C.-B.), 22 juillet 1991. Collision du navire-usine japonais « Tenyo Maru » et du vracquier chinois « Tuo Hai » pendant que ce dernier se faufilait entre 15 à 20 navires de pêche; 260 tonnes de mazout brut et 525 000 litres de diesel sont déversés; 175 tonnes de ces produits sont récupérées; la zone touchée est extrêmement sensible; le « Tenyo Maru » coule; une personne perd la vie.	1	0	0			22/07/1991 12:00:00 AM	0.0000	0.0000						0	0.0	
Incident	Technologie	Produits chimiques dangereux	Dégagement de déraillement	St. Lazare (MB)	09/07/1991 12:00:00 AM	St-Lazare (MB), 9 juillet 1991. 25 des 88 wagons d'un train du CN déraillent près du village de St-Lazare; deux wagons contenant du méthanol et deux autres contenant de l'anhydride acétique sont endommagés, entraînant la formation d'un nuage toxique; 400 résidents de St-Lazare sont évacués pendant six jours. [Le rapport d'accident d'Environnement Canada signale que le port d'appareils respiratoires est imposé dans la zone contaminée, des bassins de confinement sont creusés, les cultures sont contaminées par les vapeurs acétiques dans un rayon de 200 m, et 500 personnes sont privées d'eau durant deux jours.]	0	0	400			10/07/1991 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Orages et orages graves	Red Deer (AB)	03/07/1991 12:00:00 AM	Red Deer (AB), 3 juillet 1991. Une tempête de grêle balaie Red Deer.	0	0	0	40387745.0000	2926648.2	03/07/1991 12:00:00 AM			9280084.0000			31107661.0000		0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Feu de forêt	Betsiamites, Ragueneau et Baie-Comeau (QC)	29/06/1991 12:00:00 AM	Betsiamites, Ragueneau et Baie-Comeau (QC), 29 juin 1991. Les résidents de la réserve montagnaise de Betsiamites et la communauté de Ragueneau sont évacués; neuf incendies sont signalés dans la région de Baie-Comeau; les efforts d'extinction sont concentrés sur les deux incendies les plus importants; le plus grand couvre 1900 km² à Betsiamites, soit à environ 50 km à l'ouest de Baie-Comeau, le second couvre 900 km² à Forestville, soit à environ 90 km à l'ouest de Baie-Comeau; au total, 3110 personnes sont évacuées (statistiques de la Croix-Rouge).	0	0	4035			29/06/1991 12:00:00 AM								0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Old Crow (YN)	08/05/1991 12:00:00 AM	Old Crow (YN), 8-9 mai 1991. Des embâcles causent le débordement de la rivière Porcupine et l'inondation de la localité d'Old Crow. Plus de la moitié des immeubles subissent des dommages, dont de 32 à 40 maisons, l'église, l'école, la piste de l'aéroport et l'aérogare, le poste de soins infirmiers et le magasin Coop. Des fournitures, des systèmes électriques et des génératrices sont également endommagés.	0	0	0	546692.0000	39615.4	09/05/1991 12:00:00 AM	518222.0000	28470.0000						0	0.0	
Incident	Technologie	Produits chimiques dangereux	Le feu	Niverville (MB)	01/05/1991 12:00:00 AM	Niverville (MB), 1 mai 1991. Un incendie de cause inconnue se déclare dans un entrepôt contenant des engrais en granules et des milliers de litres d'herbicides et de pesticides; les secours emploient des techniques spéciales d'extinction à l'eau, puis des tranchées sont creusées pour récupérer l'eau polluée; 1500 personnes sont évacuées pendant environ trois heures; la production de produits laitiers et d'oeufs, et l'élevage de volailles et de bétail sont suspendus dans le secteur.	0	0	1500			01/05/1991 12:00:00 AM	0.0000	0.0000						0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Inondation	Rivière Chaudière (QC)	07/04/1991 12:00:00 AM	Rivière Chaudière, 7-8 avril 1991. Les résidents des bords de la rivière Chaudière, au sud de la ville de Québec, subissent les plus importantes inondations depuis plusieurs années pendant la fin de semaine des 7 et 8 avril; un grand nombre de maisons et de commerces sont endommagés par l'eau et la glace.	0	0	1000	3682004.0000	266811.9	08/04/1991 12:00:00 AM			3682004.0000					0	0.0	
Désastre	Naturel	Géologique	Éboulement	Notre-Dame de Pierreville (QC)	01/04/1991 12:00:00 AM	Notre-Dame de Pierreville (QC), avril 1991.  La seule route conduisant au village est partiellement emportée par un glissement de terrain. 600 personnes sont complètement isolées.	0	0	0	304756.0000	22083.8	01/04/1991 12:00:00 AM			304756.0000					0	0.0	
Désastre	Naturel	Météorologique - hydrologique	Tornade	Sarnia (ON)	27/03/1991 12:00:00 AM	Sarnia (ON), 27 mars 1991.	0	0	0	28310657.0000	2051496.9	27/03/1991 12:00:00 AM		0.0000	0.0000			28310657.0000		1560000	0.0	
Désastre	Naturel	Météorologique - hydrologique	Avalanche	le parc provincial Bugaboo Glacier (C.-B.)	12/03/1991 12:00:00 AM	Chaîne Purcell (C.-B.), 12 mars 1991. neuf héliskieurs sont tués par une avalanche massive dans le parc provincial Bugaboo Glacier.	9	0	0			12/03/1991 12:00:00 AM		0.0000	0.0000					0	0.0	
Incident	Technologie	Produits chimiques dangereux	Fuite / dégagement de flaque	Cochrane (ON)	11/01/1991 12:00:00 AM	Cochrane (ON), 11 janvier 1991. L'explosion d'une section d'un pipeline cause le bris d'un tuyau sur environ 25,5 mètres et le rejet d'environ un milliard de mètres cubes de gaz naturel ? haute pression.	0	0	0			11/01/1991 12:00:00 AM		0.0000	0.0000					0	0.0	
